,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,provideniya,58.5371,15.0365,22.78,94,96,9.46,SE,1638897495
134,toora-khem,38.8876,-76.5119,44.58,41,1,8.01,US,1638897497
135,tiksi,66.0449,-17.3389,31.91,88,100,7.16,IS,1638897500
136,richards bay,4.1213,43.8894,82.08,38,83,9.42,SO,1638897501
137,bethel,59.8944,30.2642,5.14,85,75,6.71,RU,1638897291
138,mys shmidta,18.217,-63.0578,85.86,69,40,16.11,AI,1638897506
139,haibowan,68.75,161.3,-41.21,100,80,0.76,RU,1638897507
140,honningsvag,48.0448,40.045,41.14,87,100,17.43,RU,1638897509
141,bonavista,-1.8283,-44.8683,84.72,70,40,7.36,BR,1638897368
142,puerto ayora,61.2767,108.0108,7.2,96,100,1.52,RU,1638897512
143,tsumeb,-23.865,35.3833,78.62,82,26,5.77,MZ,1638897514
144,pinawa,-25.2986,152.8535,74.03,91,67,1.01,AU,1638897516
145,motala,51.6231,-8.8706,44.1,86,100,45.72,IE,1638897517
146,mayo,73.5069,80.5464,-13.94,99,71,13.27,RU,1638897343
147,husavik,53.4106,-2.9779,45.68,81,40,15.01,GB,1638897334
148,xuddur,66.4167,112.4,-21.15,97,99,2.68,RU,1638897523
149,petropolis,14.2,24.6667,75.4,18,2,10.58,SD,1638897525
150,the valley,20.8947,-156.47,75.85,95,90,14.97,US,1638897511
151,cherskiy,38.5167,-28.7,63,59,20,14.97,PT,1638897529
152,almaznyy,-18.95,-57.8,98.96,47,20,4.61,BO,1638897530
153,cururupu,7.3833,8.5667,88.79,20,95,4.16,NG,1638897534
154,yerbogachen,22.8909,-109.9124,80.06,53,75,0,MX,1638897360
155,inhambane,27.4327,120.6062,54.3,73,74,10.04,CN,1638897538
156,hervey bay,5.65,36.65,70.93,33,57,1.45,ET,1638897542
157,clonakilty,-9.8756,-56.0861,87.62,66,40,6.91,BR,1638897544
158,dikson,63.7506,-68.5145,6.53,71,75,5.01,CA,1638897343
159,liverpool,19.7297,-155.09,75.61,46,20,5.75,US,1638897547
160,udachnyy,29.5958,-90.7195,66.99,94,90,8.05,US,1638897549
161,kutum,-15.8975,-52.2508,95.65,43,40,2.3,BR,1638897551
162,kahului,-3.945,122.4989,76.84,81,100,7.49,ID,1638897552
163,ribeira grande,-3.8004,102.2655,76.26,87,75,3.42,ID,1638897373
164,puerto suarez,-20.4081,57.7,79.09,73,40,6.91,MU,1638897556
165,nguiu,10.9333,108.1,72.36,88,58,3.74,VN,1638897558
166,yaan,-29.15,-59.65,92.08,22,2,12.35,AR,1638897560
167,cabo san lucas,17.0151,54.0924,75.29,50,0,4.61,OM,1638897562
168,jinxiang,67.4667,86.5833,-13.72,97,99,8.43,RU,1638897563
169,labutta,-41.1456,-71.3082,69.55,56,20,14.97,AR,1638897334
170,jinka,47.4257,-120.2812,34.88,84,90,0,US,1638897567
171,alta floresta,6.3005,-10.7969,87.57,73,94,10.02,LR,1638897568
172,iqaluit,35.3,70.8333,16.68,46,8,10.47,AF,1638897571
173,hilo,66.7697,123.3711,-28.66,96,100,14,RU,1638897573
174,houma,-34.8335,-56.1674,77.02,73,40,15.99,UY,1638897575
175,aragarcas,-29.9533,-71.3436,64.13,67,40,9.22,CL,1638897577
176,kendari,20.5169,-13.0499,82.06,7,97,13.78,MR,1638897578
177,bengkulu,-3.2033,-52.2064,82.49,83,90,3.44,BR,1638897580
178,mahebourg,56.255,51.2842,14.13,73,100,8.1,RU,1638897582
179,phan thiet,-32.4524,-71.2311,64.18,44,0,9.71,CL,1638897373
180,reconquista,64.2539,-15.2082,33.76,61,61,12.93,IS,1638897402
181,salalah,10.4762,-66.5427,88.3,58,44,6.62,VE,1638897588
182,igarka,21.3469,-158.0858,70.12,87,90,5.75,US,1638897590
183,san carlos de bariloche,9.4942,50.8122,77.27,65,7,19.39,SO,1638897592
184,east wenatchee bench,34.6667,138.95,51.1,90,100,15.03,JP,1638897390
185,monrovia,26.1247,127.6694,68.02,66,40,13.8,JP,1638897597
186,nuristan,68.2191,-135.0107,11.23,85,40,5.75,CA,1638897598
187,zhigansk,60.1432,-45.2371,18.27,55,29,9.64,GL,1638897600
188,montevideo,-13.2,49.05,78.49,69,43,5.66,MG,1638897367
189,coquimbo,25.2934,32.554,70.43,20,97,8.28,EG,1638897606
